"","Total.All.Revenue","Total.Donations","Total.Ticket.Revenue","X2004.Total.Cost","X2005.Total.Cost","X2006.Total.Cost","X2007.Total.Cost","X2008.Total.Cost","X2009.Total.Cost","X2010.Total.Cost","X2011.Total.Cost","X2012.Total.Cost","X2013.Total.Cost","X2014.Total.Cost","X2015.Total.Cost","X2004.Donation","X2005.Donation","X2006.Donation","X2007.Donation","X2008.Donation","X2009.Donation","X2010.Donation","X2011.Donation","X2012.Donation","X2013.Donation","X2014.Donation","X2015.Donation","KmeansClustering_3.cluster"
"11578",634,0,634,0,30,0,0,0,0,45,36,177,135,87,124,0,0,0,0,0,0,0,0,0,0,0,0,3
"11579",68,0,68,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"11580",300,0,300,70,148,0,0,0,0,0,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"11581",903,0,903,66,111,0,76,132,50,194,0,86,0,96,92,0,0,0,0,0,0,0,0,0,0,0,0,3
"11582",56,0,56,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"11583",83,0,83,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"11584",54,0,54,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"11585",578.33,0,578.33,0,0,0,130.33,298,124,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"11586",109,0,109,0,9,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"11587",130,0,130,0,0,66,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"11588",254,0,254,0,0,119,0,0,0,91,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"11589",688,0,688,100,0,0,140,0,0,212,0,140,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"11590",308,0,308,0,60,0,0,0,0,0,0,0,60,60,128,0,0,0,0,0,0,0,0,0,0,0,0,3
"11591",96.2,0,96.2,0,45.6,50.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"11592",198.16,1,197.16,100.5,0,0,24.66,35,37,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3
"11593",76,0,76,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"11594",533,0,533,0,70,40,72,86,92,0,0,0,130,0,43,0,0,0,0,0,0,0,0,0,0,0,0,3
"11595",166.33,0,166.33,0,88.33,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"11596",33,0,33,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"11597",60,0,60,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"11598",38,0,38,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"11599",931.33,100,831.33,0,0,0,211.33,228,98,0,0,0,0,0,294,0,0,0,0,0,0,100,0,0,0,0,0,3
"11600",134,0,134,0,0,0,0,0,0,50,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,3
"11601",2019.5,25,1994.5,289.5,0,88,138,0,168,150,50,238,330,285,258,25,0,0,0,0,0,0,0,0,0,0,0,1
"11602",139,0,139,0,0,72,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"11603",838,0,838,0,52,0,0,357,0,132,91,132,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"11605",74,0,74,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"11606",592,0,592,226,114,0,71,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"11607",60,0,60,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"11608",168,0,168,0,0,0,0,78,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"11609",720,0,720,0,0,0,208,0,160,0,0,0,120,0,232,0,0,0,0,0,0,0,0,0,0,0,0,3
"11611",925,925,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,125,100,100,100,100,0,0,0,3
"11612",36.5,0,36.5,0,36.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"11613",120,0,120,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"11614",84,0,84,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"11616",160.67,0,160.67,81.67,0,0,0,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"11617",447.67,0,447.67,0,0,0,197.67,0,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"11618",30.67,0,30.67,0,0,30.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"11620",93.33,0,93.33,93.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"11622",98,0,98,0,0,0,0,0,0,0,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"11623",252,0,252,64,0,0,0,86,0,0,0,0,0,102,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"11624",136,0,136,0,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"11625",132,0,132,0,0,72,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"11626",144,0,144,70,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"11627",27,0,27,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"11628",84,0,84,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"11629",282,0,282,0,0,0,0,0,0,0,0,0,96,92,94,0,0,0,0,0,0,0,0,0,0,0,0,3
"11630",64.33,0,64.33,0,27.33,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"11632",48.5,0,48.5,0,18.5,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"11633",294,0,294,0,74,66,0,0,0,0,0,0,0,0,154,0,0,0,0,0,0,0,0,0,0,0,0,3
"11634",886,600,286,76,0,80,70,0,0,0,0,0,0,60,0,100,100,100,100,100,0,50,50,0,0,0,0,3
"11636",340,0,340,0,0,61,0,0,37,0,0,0,50,0,192,0,0,0,0,0,0,0,0,0,0,0,0,3
"11638",293.5,0,293.5,0,0,52,0,0,0,0,0,196,0,45.5,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"11639",170,0,170,0,0,0,0,0,0,0,0,0,68,0,102,0,0,0,0,0,0,0,0,0,0,0,0,3
"11641",1533,525,1008,0,0,108,132,180,192,198,198,0,0,0,0,0,0,0,100,200,100,25,100,0,0,0,0,1
"11642",833.67,0,833.67,0,141,188.67,0,0,0,0,0,0,0,246,258,0,0,0,0,0,0,0,0,0,0,0,0,3
"11643",322,0,322,0,0,0,0,0,0,0,133,118,30,41,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"11644",140,0,140,0,56,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"11645",74,0,74,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"11646",56,0,56,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"11647",671,0,671,0,64,181,148,0,0,182,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"11648",1707,0,1707,0,0,72,322,198,154,221,66,64,206,132,272,0,0,0,0,0,0,0,0,0,0,0,0,1
"11649",64,0,64,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"11650",245.34,0,245.34,0,0,0,175.34,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"11651",2231.54,0,2231.54,246.14,0,198.4,304,0,174,0,298,140,0,477,394,0,0,0,0,0,0,0,0,0,0,0,0,1
"11652",297,0,297,0,0,0,60,93,0,0,0,0,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"11653",36,0,36,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"11654",514.5,0,514.5,0,36.5,0,142,0,160,0,0,0,0,176,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"11656",776,0,776,0,0,60,0,0,148,0,222,242,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"11657",66,0,66,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"11658",206,0,206,0,116,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"11659",140,0,140,0,0,0,0,0,0,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"11660",1043.4,0,1043.4,128,110,0,158.4,0,0,149,0,0,0,178,320,0,0,0,0,0,0,0,0,0,0,0,0,3
"11661",87,0,87,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"11662",36.5,0,36.5,36.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"11663",106,0,106,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"11664",501,0,501,0,0,0,58,0,140,0,0,0,0,257.5,45.5,0,0,0,0,0,0,0,0,0,0,0,0,3
"11665",144,0,144,0,0,40,0,0,0,0,0,0,0,0,104,0,0,0,0,0,0,0,0,0,0,0,0,3
"11666",288,0,288,0,0,72,70,0,41,0,0,0,0,45,60,0,0,0,0,0,0,0,0,0,0,0,0,3
"11667",60,0,60,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"11668",124,0,124,0,0,0,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"11669",144,0,144,0,32,38,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"11670",182,0,182,0,0,88,0,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"11672",66,0,66,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"11673",310,0,310,58,0,0,0,0,0,0,0,84,80,88,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"11676",627.5,0,627.5,36.5,87,0,168,0,166,0,120,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"11677",390,0,390,140,70,0,0,0,86,0,0,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"11678",30.33,0,30.33,0,0,30.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"11679",105,0,105,0,0,0,0,0,0,0,0,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"11680",181,0,181,0,0,0,0,0,0,0,0,0,0,0,181,0,0,0,0,0,0,0,0,0,0,0,0,3
"11681",2177,0,2177,0,0,1182,385,116,151,0,79,0,176,88,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"11682",400,0,400,0,0,0,0,0,180,0,0,0,0,0,220,0,0,0,0,0,0,0,0,0,0,0,0,3
"11686",36.5,0,36.5,0,36.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"11687",114,0,114,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"11688",638.41,0,638.41,0,64.08,144,100.33,0,0,0,0,0,330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"11689",238,0,238,0,0,0,0,0,184,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"11690",588.66,0,588.66,0,0,106.33,94.33,0,270,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"11691",2020,815,1205,60,32,0,70,42,134,90,145,115,130,134,253,0,0,0,0,0,100,100,150,0,265,200,0,1
"11693",163,0,163,0,0,0,163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"11694",378,0,378,104,107,0,60,58,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"11695",38,0,38,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"11696",40.5,0,40.5,0,0,40.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"11698",216,0,216,0,0,0,38,0,0,0,0,0,0,178,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"11699",330,100,230,114,0,0,0,0,0,0,0,56,0,0,60,0,0,0,0,0,0,0,0,0,50,0,50,3
"11701",59,0,59,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"11702",84,0,84,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"11703",1264.5,0,1264.5,0,260,76,66,30,129,0,158,96,0,181,268.5,0,0,0,0,0,0,0,0,0,0,0,0,3
"11704",709,0,709,0,0,0,0,0,0,98,41,216,0,0,354,0,0,0,0,0,0,0,0,0,0,0,0,3
"11705",310,0,310,64,0,84,0,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"11706",377,0,377,0,0,60,0,0,46,0,42,98,90,41,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"11707",84,0,84,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"11708",323,0,323,0,0,66,0,0,0,0,39,0,64,154,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"11709",76,0,76,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"11710",400,0,400,0,70,82,76,88,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,3
"11711",904.5,0,904.5,72.5,0,0,0,0,0,0,0,0,234,328,270,0,0,0,0,0,0,0,0,0,0,0,0,3
"11713",94,0,94,0,74,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,3
"11714",170,0,170,0,0,0,0,0,0,0,0,0,84,86,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"11715",50,0,50,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"11716",899,0,899,0,0,0,88,0,0,0,711,0,25,0,75,0,0,0,0,0,0,0,0,0,0,0,0,3
"11717",61,0,61,24,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"11718",140.4,0,140.4,140.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"11719",37,0,37,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"11720",60,0,60,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"11721",52,0,52,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"11723",116,0,116,0,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"11724",246,178,68,0,0,0,33,0,0,0,0,0,0,0,35,25,25,0,25,25,25,25,25,0,0,0,3,3
"11726",782,0,782,188,0,0,0,0,0,0,0,214,121,159,100,0,0,0,0,0,0,0,0,0,0,0,0,3
"11727",292.5,0,292.5,18.5,0,60,90,0,0,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"11728",113.6,0,113.6,68,45.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"11729",188,0,188,0,69,0,0,0,0,25,0,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"11730",260,0,260,0,0,0,0,0,0,0,0,110,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"11731",27.67,0,27.67,0,27.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"11732",20.5,0,20.5,0,0,20.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"11733",997.33,0,997.33,163.33,56,0,252,156,0,90,152,0,30,98,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"11735",94,0,94,0,0,0,0,0,0,0,0,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"11738",134,0,134,0,0,68,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"11739",516.7,0,516.7,18.5,193.2,0,0,0,37,0,0,60,88,60,60,0,0,0,0,0,0,0,0,0,0,0,0,3
"11740",1155,0,1155,0,0,0,0,0,543,333,90,87,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"11741",187,0,187,105,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"11742",430,0,430,0,0,120,114,116,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"11743",180,0,180,0,32,0,0,0,0,0,50,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"11744",32.67,0,32.67,0,0,32.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"11745",395,0,395,140,70,66,0,0,0,45,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"11746",357,0,357,0,0,140,60,64,0,66,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"11747",175.5,0,175.5,94.5,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"11748",1559.5,0,1559.5,0,0,0,0,196,428,177,220,124,236,83,95.5,0,0,0,0,0,0,0,0,0,0,0,0,1
"11749",36.5,0,36.5,0,36.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"11750",406,0,406,150,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"11752",2568,0,2568,369,60,537,437,0,245,50,97,44,110,220,399,0,0,0,0,0,0,0,0,0,0,0,0,1
"11753",108,0,108,0,0,0,0,0,0,0,0,0,0,0,108,0,0,0,0,0,0,0,0,0,0,0,0,3
"11754",302,0,302,66,0,90,66,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"11757",555,0,555,0,0,116,0,0,0,0,300,0,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"11758",234,0,234,0,0,72,76,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"11759",90,0,90,30,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"11760",18,0,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"11761",94,0,94,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"11762",48,0,48,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"11763",40,0,40,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"11764",26,0,26,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"11765",38,0,38,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"11766",750,0,750,0,0,0,216,252,282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"11769",902,100,802,0,0,0,0,0,146,90,90,90,102,184,100,0,0,0,0,0,0,0,0,0,0,0,100,3
"11771",18.5,0,18.5,0,18.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"11772",174,0,174,0,0,0,0,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"11773",111.67,0,111.67,0,111.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"11775",1150,0,1150,0,0,0,346,356,364,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"11776",342,0,342,210,0,0,90,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"11777",319,0,319,0,0,0,0,82,0,102,0,0,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"11779",255,0,255,0,66,0,0,0,0,0,0,0,91,0,98,0,0,0,0,0,0,0,0,0,0,0,0,3
"11780",96,0,96,0,0,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"11781",39.33,0,39.33,0,0,0,39.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"11782",869,0,869,0,256,0,0,365,248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"11783",40,0,40,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"11784",385.99,0,385.99,73.99,0,144,90,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"11785",596,0,596,208,208,0,0,0,0,0,0,0,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"11786",264.55,0,264.55,56.67,54.67,60.71,48.5,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"11787",48.5,0,48.5,0,0,0,48.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"11788",394,0,394,140,0,162,0,0,0,0,0,0,0,0,92,0,0,0,0,0,0,0,0,0,0,0,0,3
"11789",132,0,132,0,0,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"11790",685.51,0,685.51,0,0,380.51,305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"11792",2219,1,2218,0,48,12,256,184,294,272,459,0,437,60,196,0,0,0,0,0,1,0,0,0,0,0,0,1
"11793",111,0,111,0,0,0,0,0,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"11794",180,0,180,0,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"11795",190,0,190,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"11796",34,0,34,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"11797",111,0,111,0,0,0,0,0,37,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"11798",1207,0,1207,120,180,132,192,198,385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"11800",66,0,66,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"11801",914,0,914,201,384,329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"11802",80,0,80,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"11803",2979,2,2977,246,237,290,396,316,147,0,0,416,264,312,353,2,0,0,0,0,0,0,0,0,0,0,0,1
"11804",20,0,20,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"11805",241,0,241,0,0,30,111,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"11806",26,0,26,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"11807",778.5,0,778.5,128,0,0,176,0,0,159,0,80,0,94,141.5,0,0,0,0,0,0,0,0,0,0,0,0,3
"11808",1499,0,1499,0,144,0,69,161,435,183,220,88,70,129,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"11809",249,0,249,0,27,0,0,0,0,0,0,126,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,3
"11810",249,0,249,99,0,0,0,0,0,50,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,3
"11811",84,0,84,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"11812",82.6,0,82.6,82.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"11813",27.67,0,27.67,27.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"11814",112.06,0,112.06,0,112.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"11815",1129,0,1129,0,0,0,132,0,0,117,246,0,270,364,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"11816",246.75,0,246.75,0,0,40.75,0,0,26,0,0,0,0,180,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"11817",111.5,0,111.5,27.5,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"11818",20,0,20,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"11819",52,0,52,0,0,0,26,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"11820",434,0,434,0,0,434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"11821",192,0,192,0,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"11824",74,0,74,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"11825",236,0,236,0,70,0,76,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"11826",20,0,20,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"11827",235.78,0,235.78,63.57,63.71,20.5,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"11828",60,0,60,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"11829",126,0,126,0,0,0,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"11830",27.67,0,27.67,27.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"11831",99,0,99,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"11832",1056,0,1056,0,0,0,0,0,0,0,0,0,148,524,384,0,0,0,0,0,0,0,0,0,0,0,0,3
"11833",56,0,56,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"11834",331,0,331,0,106,73,0,0,52,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"11836",114.5,0,114.5,0,94,20.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"11837",207.67,0,207.67,0,207.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
