"","Total.All.Revenue","Total.Donations","Total.Ticket.Revenue","X2004.Total.Cost","X2005.Total.Cost","X2006.Total.Cost","X2007.Total.Cost","X2008.Total.Cost","X2009.Total.Cost","X2010.Total.Cost","X2011.Total.Cost","X2012.Total.Cost","X2013.Total.Cost","X2014.Total.Cost","X2015.Total.Cost","X2004.Donation","X2005.Donation","X2006.Donation","X2007.Donation","X2008.Donation","X2009.Donation","X2010.Donation","X2011.Donation","X2012.Donation","X2013.Donation","X2014.Donation","X2015.Donation","KmeansClustering_3.cluster"
"25530",28,0,28,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"25531",180,0,180,0,0,0,0,0,0,0,0,0,94,86,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"25532",112,0,112,0,0,0,0,0,0,0,0,0,27,25,60,0,0,0,0,0,0,0,0,0,0,0,0,3
"25533",100,0,100,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"25534",200,0,200,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"25535",630,0,630,0,0,0,0,0,0,0,0,0,152,220,258,0,0,0,0,0,0,0,0,0,0,0,0,3
"25536",171,0,171,0,0,0,0,0,0,0,0,0,96,75,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"25537",120,0,120,0,0,0,0,0,0,0,0,0,60,60,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"25538",1078,0,1078,0,0,0,0,0,0,0,0,0,86,0,992,0,0,0,0,0,0,0,0,0,0,0,0,3
"25539",244,0,244,0,0,0,0,0,0,0,0,0,18,226,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"25540",102,0,102,0,0,0,0,0,0,0,0,0,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"25541",55,0,55,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"25543",168,0,168,0,0,0,0,0,0,0,0,0,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"25544",194,0,194,0,0,0,0,0,0,0,0,0,100,94,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"25545",90,0,90,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"25547",240,0,240,0,0,0,0,0,0,0,0,0,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"25548",141,0,141,0,0,0,0,0,0,0,0,0,92,49,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"25549",92,0,92,0,0,0,0,0,0,0,0,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"25550",153,0,153,0,0,0,0,0,0,0,0,0,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"25551",180,0,180,0,0,0,0,0,0,0,0,0,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"25552",1044,0,1044,130,0,0,0,0,0,0,0,50,384,372,108,0,0,0,0,0,0,0,0,0,0,0,0,3
