Patron #,Total All Revenue,Total Donations,Total Ticket Revenue,2004 Total Cost,2005 Total Cost,2006 Total Cost,2007 Total Cost,2008 Total Cost,2009 Total Cost,2010 Total Cost,2011 Total Cost,2012 Total Cost,2013 Total Cost,2014 Total Cost,2015 Total Cost,2004 Donation,2005 Donation,2006 Donation,2007 Donation,2008 Donation,2009 Donation,2010 Donation,2011 Donation,2012 Donation,2013 Donation,2014 Donation,2015 Donation
1169,651.67,0,651.67,23,32,73.67,88,0,435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1172,542,0,542,128,0,0,0,0,0,0,0,0,220,0,194,0,0,0,0,0,0,0,0,0,0,0,0
1174,752,100,652,326,0,80,0,0,30,0,0,0,108,60,48,0,0,0,0,0,0,0,0,0,0,0,100
1175,9,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1176,374,0,374,0,0,66,37,0,135,42,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1179,116.67,0,116.67,0,0,0,116.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1184,550,550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,50,50,50,75,75,75,75
1185,838,0,838,315,309,132,0,0,40,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1192,37.66,0,37.66,0,0,0,37.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1200,92,0,92,0,0,0,0,50,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1201,126,0,126,0,0,0,0,0,96,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1205,392.75,0,392.75,0,0,10.75,0,0,26,205,0,0,0,0,151,0,0,0,0,0,0,0,0,0,0,0,0
1206,20,0,20,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1211,173,33,140,0,0,0,0,0,0,0,0,140,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0
1212,25,0,25,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1220,517,0,517,0,64,0,66,0,0,96,82,107,0,60,42,0,0,0,0,0,0,0,0,0,0,0,0
1224,1276,0,1276,0,32,0,114,82,90,88,70,379,180,135,106,0,0,0,0,0,0,0,0,0,0,0,0
1225,30,0,30,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1226,281,0,281,92,118,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1227,324,0,324,38,0,104,0,0,0,15,0,0,24,0,143,0,0,0,0,0,0,0,0,0,0,0,0
1228,1215.5,50,1165.5,120,114,204,72,59,130,93,22,72,68,41.5,170,50,0,0,0,0,0,0,0,0,0,0,0
1230,28,0,28,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1232,530,200,330,0,0,0,11,0,86,0,35,24,0,174,0,0,0,0,0,0,0,0,0,0,200,0,0
1235,115,0,115,0,0,0,0,0,52,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1237,839,500,339,76,70,0,72,0,0,39,0,34,0,0,48,50,50,50,50,50,0,25,25,50,50,50,50
1240,654.4,0,654.4,69,104.4,0,0,0,350,41,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0
1242,98,0,98,0,0,0,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1244,185,0,185,0,0,0,0,0,0,0,185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1249,930,275,655,18,18.5,0,0,128,74,33,118,48,64,70.5,83,0,0,0,0,0,0,0,0,50,75,75,75
1252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1254,438,400,38,0,0,0,0,38,0,0,0,0,0,0,0,130,130,140,0,0,0,0,0,0,0,0,0
1258,96,0,96,0,0,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1260,108,0,108,0,0,0,0,0,37,0,26,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1268,152,0,152,0,0,0,0,0,64,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0
1269,190,0,190,0,0,0,0,0,0,0,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1274,12170.19,234,11936.19,628.8,710.67,776.66,937.06,990,1140,936,1188,1143,1050,1128,1308,0,0,16,0,33,71,59,0,25,30,0,0
1283,2131.01,0,2131.01,0,707.01,560,290,0,0,186,96,0,90,0,202,0,0,0,0,0,0,0,0,0,0,0,0
1289,1992,0,1992,374,97,664,557,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1312,198,0,198,0,0,0,198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1313,650,0,650,0,0,0,370,280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1314,414,0,414,0,0,0,414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
